source,relation,target
serotonergic antidepressants,MENTIONED_IN,chunk_1266
serotonergic antidepressants,CO_OCCURS_WITH,incontinence
angiotensin,MENTIONED_IN,chunk_1267
Hypotension,MENTIONED_IN,chunk_1267
hypertension,MENTIONED_IN,chunk_1267
tizanidine,MENTIONED_IN,chunk_1267
angiotensin,CO_OCCURS_WITH,Hypotension
angiotensin,CO_OCCURS_WITH,hypertension
tizanidine,CO_OCCURS_WITH,Hypotension
tizanidine,CO_OCCURS_WITH,hypertension
disorders of the central nervous system,MENTIONED_IN,chunk_1268
spasticity,MENTIONED_IN,chunk_1268
spasticity,MENTIONED_IN,chunk_1269
angiotensin,MENTIONED_IN,chunk_1270
hypotension,MENTIONED_IN,chunk_1270
angiotensin,MENTIONED_IN,chunk_1271
hypertension,MENTIONED_IN,chunk_1271
lisinopril,MENTIONED_IN,chunk_1271
tizanidine,MENTIONED_IN,chunk_1271
hypotension,MENTIONED_IN,chunk_1271
spasticity,MENTIONED_IN,chunk_1271
angiotensin,CO_OCCURS_WITH,spasticity
lisinopril,CO_OCCURS_WITH,hypotension
lisinopril,CO_OCCURS_WITH,spasticity
lisinopril,CO_OCCURS_WITH,hypertension
tizanidine,CO_OCCURS_WITH,hypotension
tizanidine,CO_OCCURS_WITH,spasticity
spasticity,MENTIONED_IN,chunk_1272
hypertension,MENTIONED_IN,chunk_1272
tizanidine,MENTIONED_IN,chunk_1272
kidney disease,MENTIONED_IN,chunk_1273
TG,MENTIONED_IN,chunk_1274
transplant glomerulopathy,MENTIONED_IN,chunk_1274
acute tubular necrosis,MENTIONED_IN,chunk_1276
glomerulopathies,MENTIONED_IN,chunk_1276
glomerulonephritis,MENTIONED_IN,chunk_1276
thrombotic microangiopathy,MENTIONED_IN,chunk_1276
malignant hypertension,MENTIONED_IN,chunk_1276
chronic allograft nephropathy,MENTIONED_IN,chunk_1276
TG,MENTIONED_IN,chunk_1276
interstitial nephritis,MENTIONED_IN,chunk_1276
TG,MENTIONED_IN,chunk_1277
glomerulonephritis,MENTIONED_IN,chunk_1278
thrombotic microangiopathy,MENTIONED_IN,chunk_1278
malignant hypertension,MENTIONED_IN,chunk_1278
acute renal failure,MENTIONED_IN,chunk_1278
Henoch-Schonlein nephritis,MENTIONED_IN,chunk_1278
cocaine,MENTIONED_IN,chunk_1278
lupus nephritis,MENTIONED_IN,chunk_1278
cocaine,CO_OCCURS_WITH,glomerulonephritis
cocaine,CO_OCCURS_WITH,thrombotic microangiopathy
cocaine,CO_OCCURS_WITH,malignant hypertension
cocaine,CO_OCCURS_WITH,acute renal failure
cocaine,CO_OCCURS_WITH,Henoch-Schonlein nephritis
cocaine,CO_OCCURS_WITH,lupus nephritis
proteinuria,MENTIONED_IN,chunk_1279
TG,MENTIONED_IN,chunk_1279
renal failure,MENTIONED_IN,chunk_1279
TG,MENTIONED_IN,chunk_1280
TG,MENTIONED_IN,chunk_1281
kidney diseases,MENTIONED_IN,chunk_1281
immunologic injury,MENTIONED_IN,chunk_1282
endothelial injury,MENTIONED_IN,chunk_1282
oligodeoxynucleotide,MENTIONED_IN,chunk_1283
BD1008,MENTIONED_IN,chunk_1283
cocaine,MENTIONED_IN,chunk_1283
Cocaine,MENTIONED_IN,chunk_1284
"1-[2-(3,4-dichlorophenyl)ethyl]-4-methylpiperazine",MENTIONED_IN,chunk_1285
LR132,MENTIONED_IN,chunk_1285
"3S-1-[2-(3,4-dichlorophenyl)ethyl]-1,4-diazabicyclo[4.3.0]nonane",MENTIONED_IN,chunk_1285
BD1063,MENTIONED_IN,chunk_1285
BD1018,MENTIONED_IN,chunk_1285
NMDA,MENTIONED_IN,chunk_1286
GABA,MENTIONED_IN,chunk_1286
dopamine,MENTIONED_IN,chunk_1286
convulsions,MENTIONED_IN,chunk_1287
LR132,MENTIONED_IN,chunk_1287
BD1018,MENTIONED_IN,chunk_1287
BD1063,MENTIONED_IN,chunk_1287
cocaine,MENTIONED_IN,chunk_1287
LR132,CO_OCCURS_WITH,convulsions
BD1018,CO_OCCURS_WITH,convulsions
BD1063,CO_OCCURS_WITH,convulsions
cocaine,CO_OCCURS_WITH,convulsions
LR132,MENTIONED_IN,chunk_1288
cocaine,MENTIONED_IN,chunk_1288
"3R-1-[2-(3,4-dichlorophenyl)ethyl]-1,4-diazabicyclo[4.3.0]nonane",MENTIONED_IN,chunk_1289
DTG,MENTIONED_IN,chunk_1289
di-o-tolylguanidine,MENTIONED_IN,chunk_1289
BD1031,MENTIONED_IN,chunk_1289
toxicity,MENTIONED_IN,chunk_1289
cocaine,MENTIONED_IN,chunk_1289
"3R-1-[2-(3,4-dichlorophenyl)ethyl]-1,4-diazabicyclo[4.3.0]nonane",CO_OCCURS_WITH,toxicity
DTG,CO_OCCURS_WITH,toxicity
di-o-tolylguanidine,CO_OCCURS_WITH,toxicity
BD1031,CO_OCCURS_WITH,toxicity
cocaine,CO_OCCURS_WITH,toxicity
LR132,MENTIONED_IN,chunk_1290
BD1018,MENTIONED_IN,chunk_1290
BD1063,MENTIONED_IN,chunk_1290
cocaine,MENTIONED_IN,chunk_1290
oligodeoxynucleotide,MENTIONED_IN,chunk_1291
convulsive,MENTIONED_IN,chunk_1291
cocaine,MENTIONED_IN,chunk_1291
oligodeoxynucleotide,CO_OCCURS_WITH,convulsive
cocaine,CO_OCCURS_WITH,convulsive
cocaine,MENTIONED_IN,chunk_1292
terfenadine,MENTIONED_IN,chunk_1293
cisapride,MENTIONED_IN,chunk_1293
E4031,MENTIONED_IN,chunk_1293
terodiline,MENTIONED_IN,chunk_1293
Torsades de pointes,MENTIONED_IN,chunk_1295
TDP,MENTIONED_IN,chunk_1295
ventricular tachycardia,MENTIONED_IN,chunk_1295
terfenadine,MENTIONED_IN,chunk_1297
terodiline,MENTIONED_IN,chunk_1297
TDP,MENTIONED_IN,chunk_1298
cisapride,MENTIONED_IN,chunk_1299
E4031,MENTIONED_IN,chunk_1299
terodiline,MENTIONED_IN,chunk_1299
terfenadine,MENTIONED_IN,chunk_1299
TDP,MENTIONED_IN,chunk_1299
terfenadine,CO_OCCURS_WITH,TDP
cisapride,CO_OCCURS_WITH,TDP
E4031,CO_OCCURS_WITH,TDP
terodiline,CO_OCCURS_WITH,TDP
terfenadine,MENTIONED_IN,chunk_1303
cisapride,MENTIONED_IN,chunk_1304
E4031,MENTIONED_IN,chunk_1304
terodiline,MENTIONED_IN,chunk_1304
terfenadine,MENTIONED_IN,chunk_1306
TDP,MENTIONED_IN,chunk_1306
cisapride,MENTIONED_IN,chunk_1306
terodiline,MENTIONED_IN,chunk_1306
TDP,MENTIONED_IN,chunk_1307
vincristin,MENTIONED_IN,chunk_1308
myeloencephalopathy,MENTIONED_IN,chunk_1308
vincristin,CO_OCCURS_WITH,myeloencephalopathy
vincristine,MENTIONED_IN,chunk_1309
lymphoblastic lymphoma,MENTIONED_IN,chunk_1309
acute lymphoblastic leucemia,MENTIONED_IN,chunk_1309
vincristine,CO_OCCURS_WITH,lymphoblastic lymphoma
vincristine,CO_OCCURS_WITH,acute lymphoblastic leucemia
vincristine,MENTIONED_IN,chunk_1310
paralysis,MENTIONED_IN,chunk_1311
"opistothonus, sensory and motor dysfunction",MENTIONED_IN,chunk_1311
vincristine,MENTIONED_IN,chunk_1312
degeneration of myelin and axons,MENTIONED_IN,chunk_1312
pseudocystic transformation,MENTIONED_IN,chunk_1312
vincristine,CO_OCCURS_WITH,degeneration of myelin and axons
vincristine,CO_OCCURS_WITH,pseudocystic transformation
vincristine,MENTIONED_IN,chunk_1315
prochlorperazine,MENTIONED_IN,chunk_1316
akathisia,MENTIONED_IN,chunk_1316
prochlorperazine,CO_OCCURS_WITH,akathisia
akathisia,MENTIONED_IN,chunk_1317
prochlorperazine,MENTIONED_IN,chunk_1317
vomiting,MENTIONED_IN,chunk_1319
prochlorperazine,MENTIONED_IN,chunk_1319
headache,MENTIONED_IN,chunk_1319
nausea,MENTIONED_IN,chunk_1319
prochlorperazine,CO_OCCURS_WITH,vomiting
prochlorperazine,CO_OCCURS_WITH,headache
prochlorperazine,CO_OCCURS_WITH,nausea
prochlorperazine,MENTIONED_IN,chunk_1320
akathisia,MENTIONED_IN,chunk_1320
agitation,MENTIONED_IN,chunk_1321
akathisia,MENTIONED_IN,chunk_1321
headache,MENTIONED_IN,chunk_1322
nausea,MENTIONED_IN,chunk_1322
headache,MENTIONED_IN,chunk_1325
nausea,MENTIONED_IN,chunk_1325
akathisia,MENTIONED_IN,chunk_1327
headache,MENTIONED_IN,chunk_1331
nausea,MENTIONED_IN,chunk_1334
akathisia,MENTIONED_IN,chunk_1337
prochlorperazine,MENTIONED_IN,chunk_1337
prochlorperazine,MENTIONED_IN,chunk_1338
headache,MENTIONED_IN,chunk_1338
nausea,MENTIONED_IN,chunk_1338
aplastic anemia,MENTIONED_IN,chunk_1339
D-penicillamine,MENTIONED_IN,chunk_1339
Antithymocyte globulin,MENTIONED_IN,chunk_1339
D-penicillamine,CO_OCCURS_WITH,aplastic anemia
Antithymocyte globulin,CO_OCCURS_WITH,aplastic anemia
antithymocyte globulin,MENTIONED_IN,chunk_1340
aplastic anemia,MENTIONED_IN,chunk_1340
D-penicillamine,MENTIONED_IN,chunk_1340
antithymocyte globulin,CO_OCCURS_WITH,aplastic anemia
antithymocyte globulin,MENTIONED_IN,chunk_1342
aplastic anemia,MENTIONED_IN,chunk_1342
D-penicillamine,MENTIONED_IN,chunk_1342
acetylcholine,MENTIONED_IN,chunk_1343
seizure,MENTIONED_IN,chunk_1343
acetylcholine,CO_OCCURS_WITH,seizure
alcohol,MENTIONED_IN,chunk_1344
alcohol,MENTIONED_IN,chunk_1345
ethanol,MENTIONED_IN,chunk_1345
alcohol,MENTIONED_IN,chunk_1346
Seizure,MENTIONED_IN,chunk_1346
alcohol,CO_OCCURS_WITH,Seizure
nicotine,MENTIONED_IN,chunk_1347
tremor,MENTIONED_IN,chunk_1347
neostigmine,MENTIONED_IN,chunk_1347
carbachol,MENTIONED_IN,chunk_1347
nicotine,CO_OCCURS_WITH,tremor
neostigmine,CO_OCCURS_WITH,tremor
carbachol,CO_OCCURS_WITH,tremor
acetylcholine,MENTIONED_IN,chunk_1348
ACh,MENTIONED_IN,chunk_1348
potassium,MENTIONED_IN,chunk_1348
Potassium,MENTIONED_IN,chunk_1349
convulsions,MENTIONED_IN,chunk_1350
ACh,MENTIONED_IN,chunk_1350
ACh,CO_OCCURS_WITH,convulsions
nicotine,MENTIONED_IN,chunk_1351
carbachol,MENTIONED_IN,chunk_1351
neostigmine,MENTIONED_IN,chunk_1351
convulsion,MENTIONED_IN,chunk_1351
nicotine,CO_OCCURS_WITH,convulsion
neostigmine,CO_OCCURS_WITH,convulsion
carbachol,CO_OCCURS_WITH,convulsion
KCl,MENTIONED_IN,chunk_1352
ACh,MENTIONED_IN,chunk_1352
KCl,MENTIONED_IN,chunk_1353
ACh,MENTIONED_IN,chunk_1353
convulsions,MENTIONED_IN,chunk_1354
ACh,MENTIONED_IN,chunk_1354
alcohol,MENTIONED_IN,chunk_1355
convulsants,MENTIONED_IN,chunk_1355
ethanol,MENTIONED_IN,chunk_1355
alcohol,CO_OCCURS_WITH,convulsants
ethanol,CO_OCCURS_WITH,convulsants
convulsants,MENTIONED_IN,chunk_1356
renal injury,MENTIONED_IN,chunk_1357
hypertension,MENTIONED_IN,chunk_1357
dexamethasone,MENTIONED_IN,chunk_1357
dexamethasone,CO_OCCURS_WITH,renal injury
dexamethasone,CO_OCCURS_WITH,hypertension
renal injury,MENTIONED_IN,chunk_1359
increase in blood pressure,MENTIONED_IN,chunk_1359
dexamethasone,MENTIONED_IN,chunk_1359
dexamethasone,CO_OCCURS_WITH,increase in blood pressure
dexamethasone,MENTIONED_IN,chunk_1360
reduction in glomerular number,MENTIONED_IN,chunk_1362
dexamethasone,MENTIONED_IN,chunk_1362
dexamethasone,CO_OCCURS_WITH,reduction in glomerular number
dexamethasone,MENTIONED_IN,chunk_1364
elevated blood pressures,MENTIONED_IN,chunk_1365
reduction in glomerular number,MENTIONED_IN,chunk_1365
dexamethasone,MENTIONED_IN,chunk_1365
dexamethasone,CO_OCCURS_WITH,elevated blood pressures
glomerulosclerosis,MENTIONED_IN,chunk_1366
dexamethasone,MENTIONED_IN,chunk_1366
dexamethasone,CO_OCCURS_WITH,glomerulosclerosis
glomerulosclerosis,MENTIONED_IN,chunk_1367
hypertension,MENTIONED_IN,chunk_1367
reduction in glomerular number,MENTIONED_IN,chunk_1367
dexamethasone,MENTIONED_IN,chunk_1367
Hypertension,MENTIONED_IN,chunk_1368
hypertension,MENTIONED_IN,chunk_1368
reduction in glomerular number,MENTIONED_IN,chunk_1368
cyproterone acetate,MENTIONED_IN,chunk_1369
ethinyl estradiol,MENTIONED_IN,chunk_1369
venous thromboembolism,MENTIONED_IN,chunk_1369
cyproterone acetate,CO_OCCURS_WITH,venous thromboembolism
ethinyl estradiol,CO_OCCURS_WITH,venous thromboembolism
polycystic ovary syndrome,MENTIONED_IN,chunk_1370
acne,MENTIONED_IN,chunk_1370
venous thromboembolism,MENTIONED_IN,chunk_1370
oral contraceptives,MENTIONED_IN,chunk_1370
ethinyl estradiol,MENTIONED_IN,chunk_1370
EE,MENTIONED_IN,chunk_1370
hirsutism,MENTIONED_IN,chunk_1370
PCOS,MENTIONED_IN,chunk_1370
VTE,MENTIONED_IN,chunk_1370
CPA,MENTIONED_IN,chunk_1370
Cyproterone acetate,MENTIONED_IN,chunk_1370
oral contraceptives,CO_OCCURS_WITH,polycystic ovary syndrome
oral contraceptives,CO_OCCURS_WITH,acne
oral contraceptives,CO_OCCURS_WITH,hirsutism
oral contraceptives,CO_OCCURS_WITH,PCOS
ethinyl estradiol,CO_OCCURS_WITH,polycystic ovary syndrome
ethinyl estradiol,CO_OCCURS_WITH,acne
ethinyl estradiol,CO_OCCURS_WITH,VTE
ethinyl estradiol,CO_OCCURS_WITH,hirsutism
ethinyl estradiol,CO_OCCURS_WITH,PCOS
EE,CO_OCCURS_WITH,polycystic ovary syndrome
EE,CO_OCCURS_WITH,venous thromboembolism
EE,CO_OCCURS_WITH,acne
EE,CO_OCCURS_WITH,VTE
EE,CO_OCCURS_WITH,hirsutism
EE,CO_OCCURS_WITH,PCOS
CPA,CO_OCCURS_WITH,polycystic ovary syndrome
CPA,CO_OCCURS_WITH,venous thromboembolism
CPA,CO_OCCURS_WITH,acne
CPA,CO_OCCURS_WITH,VTE
CPA,CO_OCCURS_WITH,hirsutism
CPA,CO_OCCURS_WITH,PCOS
Cyproterone acetate,CO_OCCURS_WITH,polycystic ovary syndrome
Cyproterone acetate,CO_OCCURS_WITH,venous thromboembolism
Cyproterone acetate,CO_OCCURS_WITH,acne
Cyproterone acetate,CO_OCCURS_WITH,VTE
Cyproterone acetate,CO_OCCURS_WITH,hirsutism
Cyproterone acetate,CO_OCCURS_WITH,PCOS
acne,MENTIONED_IN,chunk_1371
VTE,MENTIONED_IN,chunk_1371
hirsutism,MENTIONED_IN,chunk_1371
PCOS,MENTIONED_IN,chunk_1371
EE,MENTIONED_IN,chunk_1371
CPA,MENTIONED_IN,chunk_1371
EE,MENTIONED_IN,chunk_1372
CPA,MENTIONED_IN,chunk_1372
EE,MENTIONED_IN,chunk_1378
CPA,MENTIONED_IN,chunk_1378
acne,MENTIONED_IN,chunk_1382
VTE,MENTIONED_IN,chunk_1382
hirsutism,MENTIONED_IN,chunk_1382
EE,MENTIONED_IN,chunk_1382
PCOS,MENTIONED_IN,chunk_1382
CPA,MENTIONED_IN,chunk_1382
Pseudoacromegaly,MENTIONED_IN,chunk_1383
minoxidil,MENTIONED_IN,chunk_1383
minoxidil,CO_OCCURS_WITH,Pseudoacromegaly
Acromegaly,MENTIONED_IN,chunk_1384
endocrine disorder,MENTIONED_IN,chunk_1384
cutis verticis gyrata,MENTIONED_IN,chunk_1385
hypertrophy,MENTIONED_IN,chunk_1385
Pseudoacromegaly,MENTIONED_IN,chunk_1386
pseudoacromegaly,MENTIONED_IN,chunk_1387
minoxidil,MENTIONED_IN,chunk_1387
minoxidil,CO_OCCURS_WITH,pseudoacromegaly
pseudoacromegaly,MENTIONED_IN,chunk_1388
minoxidil,MENTIONED_IN,chunk_1388
anemia,MENTIONED_IN,chunk_1389
prostate cancer,MENTIONED_IN,chunk_1389
anemia,MENTIONED_IN,chunk_1390
prostate cancer,MENTIONED_IN,chunk_1390
prostatic adenocarcinoma,MENTIONED_IN,chunk_1391
LHRH-A,MENTIONED_IN,chunk_1392
leuprolide acetate,MENTIONED_IN,chunk_1392
anemia,MENTIONED_IN,chunk_1393
Testosterone,MENTIONED_IN,chunk_1393
flutamide,MENTIONED_IN,chunk_1393
Testosterone,CO_OCCURS_WITH,anemia
flutamide,CO_OCCURS_WITH,anemia
anemia,MENTIONED_IN,chunk_1402
anemia,MENTIONED_IN,chunk_1403
anemia,MENTIONED_IN,chunk_1404
anemia,MENTIONED_IN,chunk_1406
anemia,MENTIONED_IN,chunk_1408
anemia,MENTIONED_IN,chunk_1410
prostate cancer,MENTIONED_IN,chunk_1410
prostate cancer,MENTIONED_IN,chunk_1411
amphotericin B,MENTIONED_IN,chunk_1412
dilated cardiomyopathy,MENTIONED_IN,chunk_1412
amphotericin B,CO_OCCURS_WITH,dilated cardiomyopathy
heart failure,MENTIONED_IN,chunk_1413
dilated cardiomyopathy,MENTIONED_IN,chunk_1413
coccidioidomycosis,MENTIONED_IN,chunk_1413
AmB,MENTIONED_IN,chunk_1413
amphotericin B,MENTIONED_IN,chunk_1413
amphotericin B,CO_OCCURS_WITH,coccidioidomycosis
amphotericin B,CO_OCCURS_WITH,heart failure
AmB,CO_OCCURS_WITH,coccidioidomycosis
AmB,CO_OCCURS_WITH,heart failure
AmB,CO_OCCURS_WITH,dilated cardiomyopathy
posaconazole,MENTIONED_IN,chunk_1414
heart failure,MENTIONED_IN,chunk_1414
AmB,MENTIONED_IN,chunk_1414
posaconazole,CO_OCCURS_WITH,heart failure
toxicity,MENTIONED_IN,chunk_1415
AmB,MENTIONED_IN,chunk_1415
AmB,CO_OCCURS_WITH,toxicity
quinine,MENTIONED_IN,chunk_1416
nocturnal leg cramps,MENTIONED_IN,chunk_1417
quinine,MENTIONED_IN,chunk_1417
quinine,CO_OCCURS_WITH,nocturnal leg cramps
coma,MENTIONED_IN,chunk_1418
confusion,MENTIONED_IN,chunk_1418
quinine,MENTIONED_IN,chunk_1418
neurological complications,MENTIONED_IN,chunk_1418
seizures,MENTIONED_IN,chunk_1418
quinine,CO_OCCURS_WITH,neurological complications
quinine,CO_OCCURS_WITH,coma
quinine,CO_OCCURS_WITH,seizures
quinine,CO_OCCURS_WITH,confusion
quinine,MENTIONED_IN,chunk_1419
convulsions,MENTIONED_IN,chunk_1420
neuropathological damages,MENTIONED_IN,chunk_1420
Organophosphate,MENTIONED_IN,chunk_1420
Organophosphate,CO_OCCURS_WITH,convulsions
Organophosphate,CO_OCCURS_WITH,neuropathological damages
OP,MENTIONED_IN,chunk_1421
soman,MENTIONED_IN,chunk_1421
sarin,MENTIONED_IN,chunk_1421
acetylcholine,MENTIONED_IN,chunk_1421
OPs,MENTIONED_IN,chunk_1421
ACh,MENTIONED_IN,chunk_1421
diisopropylfluorophosphate,MENTIONED_IN,chunk_1421
organophosphorus,MENTIONED_IN,chunk_1421
DFP,MENTIONED_IN,chunk_1421
toxicity,MENTIONED_IN,chunk_1421
OP,CO_OCCURS_WITH,toxicity
soman,CO_OCCURS_WITH,toxicity
sarin,CO_OCCURS_WITH,toxicity
acetylcholine,CO_OCCURS_WITH,toxicity
OPs,CO_OCCURS_WITH,toxicity
ACh,CO_OCCURS_WITH,toxicity
diisopropylfluorophosphate,CO_OCCURS_WITH,toxicity
organophosphorus,CO_OCCURS_WITH,toxicity
DFP,CO_OCCURS_WITH,toxicity
DFP,MENTIONED_IN,chunk_1422
2PAM,MENTIONED_IN,chunk_1424
pralidoxime-2-chloride,MENTIONED_IN,chunk_1424
diazepam,MENTIONED_IN,chunk_1425
adenosine,MENTIONED_IN,chunk_1426
CPA,MENTIONED_IN,chunk_1426
N(6)-cyclopentyl adenosine,MENTIONED_IN,chunk_1426
NMDA,MENTIONED_IN,chunk_1427
dizocilpine maleate,MENTIONED_IN,chunk_1427
atropine sulfate,MENTIONED_IN,chunk_1428
DFP,MENTIONED_IN,chunk_1429
DFP,MENTIONED_IN,chunk_1430
atropine sulfate,MENTIONED_IN,chunk_1430
DFP,MENTIONED_IN,chunk_1431
DFP,MENTIONED_IN,chunk_1432
toxicity,MENTIONED_IN,chunk_1432
OP,MENTIONED_IN,chunk_1432
atropine,MENTIONED_IN,chunk_1432
atropine,CO_OCCURS_WITH,toxicity
atropine,MENTIONED_IN,chunk_1433
poisoning,MENTIONED_IN,chunk_1433
diazepam,MENTIONED_IN,chunk_1433
2PAM,MENTIONED_IN,chunk_1433
DFP,MENTIONED_IN,chunk_1433
CPA,MENTIONED_IN,chunk_1433
atropine,CO_OCCURS_WITH,poisoning
diazepam,CO_OCCURS_WITH,poisoning
2PAM,CO_OCCURS_WITH,poisoning
DFP,CO_OCCURS_WITH,poisoning
CPA,CO_OCCURS_WITH,poisoning
DFP toxicity,MENTIONED_IN,chunk_1434
Atropine,MENTIONED_IN,chunk_1434
MK801,MENTIONED_IN,chunk_1434
Atropine,CO_OCCURS_WITH,DFP toxicity
MK801,CO_OCCURS_WITH,DFP toxicity
atropine,MENTIONED_IN,chunk_1435
poisoning,MENTIONED_IN,chunk_1435
diazepam,MENTIONED_IN,chunk_1435
2PAM,MENTIONED_IN,chunk_1435
DFP,MENTIONED_IN,chunk_1435
toxicity,MENTIONED_IN,chunk_1435
CPA,MENTIONED_IN,chunk_1435
diazepam,CO_OCCURS_WITH,toxicity
2PAM,CO_OCCURS_WITH,toxicity
CPA,CO_OCCURS_WITH,toxicity
hypotension,MENTIONED_IN,chunk_1436
estrogen,MENTIONED_IN,chunk_1436
imidazoline,MENTIONED_IN,chunk_1436
estrogen,CO_OCCURS_WITH,hypotension
imidazoline,CO_OCCURS_WITH,hypotension
clonidine,MENTIONED_IN,chunk_1437
estrogen,MENTIONED_IN,chunk_1437
hypotensive,MENTIONED_IN,chunk_1437
clonidine,CO_OCCURS_WITH,hypotensive
estrogen,CO_OCCURS_WITH,hypotensive
estrogen,MENTIONED_IN,chunk_1438
alpha-methyldopa,MENTIONED_IN,chunk_1439
rilmenidine,MENTIONED_IN,chunk_1439
estrogen,MENTIONED_IN,chunk_1439
alpha-methyldopa,MENTIONED_IN,chunk_1441
rilmenidine,MENTIONED_IN,chunk_1441
hypotension,MENTIONED_IN,chunk_1441
alpha-methyldopa,CO_OCCURS_WITH,hypotension
rilmenidine,CO_OCCURS_WITH,hypotension
alpha-methyldopa,MENTIONED_IN,chunk_1442
alpha-methyldopa,MENTIONED_IN,chunk_1443
rilmenidine hypotension,MENTIONED_IN,chunk_1443
hypotensive,MENTIONED_IN,chunk_1443
alpha-methyldopa,CO_OCCURS_WITH,rilmenidine hypotension
a reduced locomotor activity,MENTIONED_IN,chunk_1444
alpha-methyldopa hypotension,MENTIONED_IN,chunk_1444
17beta-estradiol,MENTIONED_IN,chunk_1445
alpha-methyldopa,MENTIONED_IN,chunk_1446
alpha-methyldopa,MENTIONED_IN,chunk_1447
hypotension,MENTIONED_IN,chunk_1447
estrogen,MENTIONED_IN,chunk_1447
isoproterenol,MENTIONED_IN,chunk_1448
myocardial infarction,MENTIONED_IN,chunk_1448
tincture of Crataegus,MENTIONED_IN,chunk_1448
isoproterenol,CO_OCCURS_WITH,myocardial infarction
tincture of Crataegus,CO_OCCURS_WITH,myocardial infarction
Tincture of Crataegus,MENTIONED_IN,chunk_1449
TCR,MENTIONED_IN,chunk_1449
Crataegus oxycantha,MENTIONED_IN,chunk_1449
alcoholic extract of the berries of hawthorn,MENTIONED_IN,chunk_1449
TCR,MENTIONED_IN,chunk_1450
myocardial infarction,MENTIONED_IN,chunk_1450
TCR,CO_OCCURS_WITH,myocardial infarction
TCR,MENTIONED_IN,chunk_1451
isoproterenol,MENTIONED_IN,chunk_1452
isoproterenol,MENTIONED_IN,chunk_1454
TCR,MENTIONED_IN,chunk_1454
oxygen,MENTIONED_IN,chunk_1454
ADP,MENTIONED_IN,chunk_1454
isoproterenol,MENTIONED_IN,chunk_1455
TCR,MENTIONED_IN,chunk_1455
isoproterenol,MENTIONED_IN,chunk_1456
TCR,MENTIONED_IN,chunk_1456
raloxifene,MENTIONED_IN,chunk_1457
estrogen,MENTIONED_IN,chunk_1458
raloxifene,MENTIONED_IN,chunk_1458
tamoxifen,MENTIONED_IN,chunk_1458
osteoporosis,MENTIONED_IN,chunk_1459
Raloxifene,MENTIONED_IN,chunk_1459
Raloxifene,CO_OCCURS_WITH,osteoporosis
raloxifene,MENTIONED_IN,chunk_1460
cataracts,MENTIONED_IN,chunk_1461
gallbladder disease,MENTIONED_IN,chunk_1461
venous thromboembolism,MENTIONED_IN,chunk_1461
endometrial hyperplasia or cancer,MENTIONED_IN,chunk_1461
raloxifene,MENTIONED_IN,chunk_1463
venous thromboembolism,MENTIONED_IN,chunk_1463
raloxifene,CO_OCCURS_WITH,venous thromboembolism
raloxifene,MENTIONED_IN,chunk_1471
cataracts,MENTIONED_IN,chunk_1472
Raloxifene,MENTIONED_IN,chunk_1472
Raloxifene,CO_OCCURS_WITH,cataracts
gallbladder disease,MENTIONED_IN,chunk_1475
endometrial hyperplasia,MENTIONED_IN,chunk_1478
endometrial cancer,MENTIONED_IN,chunk_1481
endometrial hyperplasia,MENTIONED_IN,chunk_1484
gallbladder disease,MENTIONED_IN,chunk_1484
venous thromboembolism,MENTIONED_IN,chunk_1484
cataracts,MENTIONED_IN,chunk_1484
endometrial cancer,MENTIONED_IN,chunk_1484
Raloxifene,MENTIONED_IN,chunk_1484
Raloxifene,CO_OCCURS_WITH,endometrial hyperplasia
Raloxifene,CO_OCCURS_WITH,gallbladder disease
Raloxifene,CO_OCCURS_WITH,venous thromboembolism
Raloxifene,CO_OCCURS_WITH,endometrial cancer
Ceftriaxone,MENTIONED_IN,chunk_1485
biliary pseudolithiasis,MENTIONED_IN,chunk_1485
Ceftriaxone,CO_OCCURS_WITH,biliary pseudolithiasis
ceftriaxone,MENTIONED_IN,chunk_1486
pseudolithiasis,MENTIONED_IN,chunk_1486
ceftriaxone,CO_OCCURS_WITH,pseudolithiasis
pseudolithiasis,MENTIONED_IN,chunk_1487
gallbladder dysfunction,MENTIONED_IN,chunk_1487
pseudolithiasis,MENTIONED_IN,chunk_1488
ceftriaxone,MENTIONED_IN,chunk_1488
ceftriaxone,MENTIONED_IN,chunk_1489
pseudolithiasis,MENTIONED_IN,chunk_1491
pseudolithiasis,MENTIONED_IN,chunk_1492
pseudolithiasis,MENTIONED_IN,chunk_1493
GNC92H2,MENTIONED_IN,chunk_1494
cocaine overdose,MENTIONED_IN,chunk_1494
GNC92H2,CO_OCCURS_WITH,cocaine overdose
cocaine overdose,MENTIONED_IN,chunk_1495
cocaine,MENTIONED_IN,chunk_1495
cocaine,CO_OCCURS_WITH,cocaine overdose
GNC92H2,MENTIONED_IN,chunk_1497
cocaine overdose,MENTIONED_IN,chunk_1497
GNC92H2,MENTIONED_IN,chunk_1498
cocaine,MENTIONED_IN,chunk_1498
GNC92H2,MENTIONED_IN,chunk_1499
cocaine,MENTIONED_IN,chunk_1499
death,MENTIONED_IN,chunk_1500
GNC92H2,MENTIONED_IN,chunk_1500
cocaine toxicity,MENTIONED_IN,chunk_1500
seizures,MENTIONED_IN,chunk_1500
cocaine,MENTIONED_IN,chunk_1500
GNC92H2,CO_OCCURS_WITH,death
GNC92H2,CO_OCCURS_WITH,cocaine toxicity
GNC92H2,CO_OCCURS_WITH,seizures
